example_id                                                                         | status  | run_time        |
./spec/binding/plugins/validator_spec.rb[1:1:2]                                    | passed  | 0.00009 seconds |
./spec/binding/plugins/validator_spec.rb[1:1:3]                                    | passed  | 0.00008 seconds |
./spec/binding/plugins/validator_spec.rb[1:2:1]                                    | passed  | 0.00006 seconds |
./spec/binding/plugins/validator_spec.rb[1:2:2]                                    | passed  | 0.00023 seconds |
./spec/binding/plugins/validator_spec.rb[1:3:1]                                    | passed  | 0.00007 seconds |
./spec/binding/plugins/validator_spec.rb[1:3:2]                                    | passed  | 0.00005 seconds |
./spec/binding/plugins/validator_spec.rb[1:4:1]                                    | passed  | 0.00007 seconds |
./spec/binding/plugins/validator_spec.rb[1:4:2]                                    | passed  | 0.00007 seconds |
./spec/binding/plugins/validator_spec.rb[1:5:1]                                    | passed  | 0.00007 seconds |
./spec/binding/plugins/validator_spec.rb[1:5:2]                                    | passed  | 0.00006 seconds |
./spec/binding/plugins/validator_spec.rb[1:6:1]                                    | passed  | 0.00005 seconds |
./spec/binding/plugins/validator_spec.rb[1:7:1]                                    | passed  | 0.00003 seconds |
./spec/binding/plugins/validator_spec.rb[1:7:2]                                    | passed  | 0.00002 seconds |
./spec/binding/plugins/validator_spec.rb[1:7:3]                                    | passed  | 0.00003 seconds |
./spec/binding/plugins/validator_spec.rb[1:7:4]                                    | passed  | 0.00003 seconds |
./spec/smoke/package_spec.rb[1:1:1]                                                | passed  | 0.00046 seconds |
./spec/smoke/package_spec.rb[1:1:2]                                                | passed  | 0.00092 seconds |
./spec/smoke/package_spec.rb[1:2:1:1]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:1:2]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:1:3]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:1:4]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:1:5]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:1:6]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:1:7]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:2:1]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:2:2]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:2:3]                                              | passed  | 0.00003 seconds |
./spec/smoke/package_spec.rb[1:2:2:4]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:3:1]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:3:2]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:3:3]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:3:4]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:3:5]                                              | passed  | 0.00002 seconds |
./spec/smoke/package_spec.rb[1:2:3:6]                                              | passed  | 0.00003 seconds |
./spec/smoke/package_spec.rb[1:2:3:7]                                              | passed  | 0.00002 seconds |
